"","name","r","dis","asian","black","hispanic","multi","natam","pacisl","white"
"1","Park Elementary School",5,"Anne Arundel County Public Schools",3.25815,16.792,12.5313,6.76692,0.75188,2.00501,57.8947
"2","North Chevy Chase Elementary School",8,"Montgomery County Public Schools",5.93824,12.8266,13.0641,6.4133,0.23753,0,61.5202
"3","Flower Hill Elementary School",3,"Montgomery County Public Schools",15.8004,27.6507,42.8274,4.7817,0,0,8.93971
"4","Clopper Mill Elementary School",3,"Montgomery County Public Schools",7.49415,38.1733,42.8571,3.51288,0,0,7.96253
"5","Waters Landing Elementary School",5,"Montgomery County Public Schools",12.0664,28.6576,28.2051,6.18401,0.452489,0,24.4344
"6","Greencastle Elementary School",3,"Montgomery County Public Schools",9.98613,71.2899,15.1179,1.80305,0.277393,0.138696,1.38696
"7","Goshen Elementary School",5,"Montgomery County Public Schools",12.9032,26.129,26.7742,6.77419,0.483871,0,26.9355
"8","Strawberry Knoll Elementary School",5,"Montgomery County Public Schools",14.3646,30.7551,34.6225,3.31492,0.368324,0,16.5746
"9","Stone Mill Elementary School",10,"Montgomery County Public Schools",45.485,11.3712,5.18395,4.51505,0.167224,0,33.2776
"10","Clearspring Elementary School",7,"Montgomery County Public Schools",14.1479,10.6109,17.8457,7.3955,0.160772,0,49.8392
"11","Captain James E. Daly Elementary School",3,"Montgomery County Public Schools",6.71378,34.2756,42.5795,4.59364,0.530035,0,11.3074
"12","Cloverly Elementary School",8,"Montgomery County Public Schools",18.6364,15.9091,14.7727,8.18182,0.227273,0,42.2727
"13","Pasadena Elementary School",9,"Anne Arundel County Public Schools",0.573066,9.16905,4.29799,2.29226,0,0.573066,83.0946
"14","Brooke Grove Elementary School",7,"Montgomery County Public Schools",14.653,19.2802,13.1105,3.59897,0.257069,0,49.1003
"15","Burnt Mills Elementary School",5,"Montgomery County Public Schools",3.72671,64.8033,22.7743,1.0352,0,0,7.66046
"16","Rachel Carson Elementary School",9,"Montgomery County Public Schools",11.8391,5.17241,15.7471,4.71264,0,0,62.5287
"17","Ronald A. Mcnair Elementary School",8,"Montgomery County Public Schools",29.2916,22.3433,15.8038,5.04087,0,0,27.5204
"18","Sequoyah Elementary School",3,"Montgomery County Public Schools",8.45771,17.1642,41.0448,4.22886,0.248756,0,28.8557
"19","Judith A. Resnik Elementary School",5,"Montgomery County Public Schools",12.2658,31.0051,39.1823,4.08859,0.170358,0,13.2879
"20","Dr. Charles R. Drew Elementary School",4,"Montgomery County Public Schools",13.4956,42.9204,22.5664,4.42478,0.221239,0,16.3717
"21","Pershing Hill Elementary",9,"Anne Arundel County Public Schools",2.79605,24.5066,12.1711,6.25,1.15132,0.986842,52.1382
"22","Yorktown Elementary School",7,"Prince George's County Public Schools",6.88259,40.4858,14.5749,7.28745,0.809717,0.404858,29.5547
"23","Judith P. Hoyer Montessori School",5,"Prince George's County Public Schools",5.02793,65.9218,11.1732,2.23464,0,0,15.6425
"24","Kingsford Elementary School",6,"Prince George's County Public Schools",2.18579,89.2076,5.32787,2.18579,0.273224,0.136612,0.68306
"25","Cool Spring Elementary School",3,"Prince George's County Public Schools",1.22699,13.6503,79.1411,0.613497,3.83436,0,1.53374
"26","Greenbelt Elementary School",7,"Prince George's County Public Schools",10.7891,54.7504,13.5266,4.50886,0.644122,0,15.781
"27","Scotchtown Hills Elementary School",5,"Prince George's County Public Schools",4.59941,54.3027,30.2671,2.96736,0.74184,0.148368,6.97329
"28","William Paca Elementary School",3,"Prince George's County Public Schools",0.601202,83.7675,14.2285,0.601202,0.601202,0,0.200401
"29","William Paca Elementary School",3,"Baltimore City Public Schools",0,88.8333,7.83333,0,0.333333,0,3
"30","Perrywood Elementary School",7,"Prince George's County Public Schools",1.93322,94.2003,1.75747,1.75747,0.351494,0,0
"31","Point Pleasant Elementary School",6,"Anne Arundel County Public Schools",1.82186,13.9676,10.5263,5.46559,0.404858,0,67.8138
"32","John Hanson Montessori",6,"Prince George's County Public Schools",2.80778,87.689,3.02376,3.45572,0.863931,0.215983,1.94384
"33","Adelphi Elementary School",7,"Prince George's County Public Schools",1.82421,30.3483,62.5207,0.497512,2.32172,0.165837,2.32172
"34","Allenwood Elementary School",2,"Prince George's County Public Schools",2.09424,82.7225,13.089,0.78534,0.26178,0,1.04712
"35","Apple Grove Elementary School",5,"Prince George's County Public Schools",0.886918,74.5011,21.7295,1.55211,0,0.221729,1.10865
"36","Ardmore Elementary School",6,"Prince George's County Public Schools",2.14008,90.2724,5.83658,0.583658,0.194553,0.194553,0.77821
"37","Arrowhead Elementary School",2,"Prince George's County Public Schools",0.45977,84.3678,8.96552,3.44828,0.45977,0,2.29885
"38","Avalon Elementary School",3,"Prince George's County Public Schools",2.34604,74.1936,19.3548,2.05279,0,0.58651,1.46628
"39","Baden Elementary School",4,"Prince George's County Public Schools",1.09489,45.9854,9.85401,6.93431,0.364964,0,35.7664
"40","Barnaby Manor Elementary School",3,"Prince George's County Public Schools",1.62272,88.641,6.89655,0.811359,0.811359,0.608519,0.608519
"41","Beacon Heights Elementary School",5,"Prince George's County Public Schools",1.43198,30.7876,63.7232,1.43198,1.43198,0,1.19332
"42","Quarterfield Elementary School",6,"Anne Arundel County Public Schools",5.98086,34.2105,9.09091,7.41627,0,0,43.3014
"43","Beltsville Academy",6,"Prince George's County Public Schools",7.12136,26.2788,52.3571,2.60782,1.00301,0,10.6319
